Итоговое расписание занятий
--------------------------------------------------
Группа 4301 | Предмет Программирование | Время ПТ 5 пара | Аудитория Г-54-18 | Преподаватель Павлов_15
Группа 4301 | Предмет Базы_данных | Время ВТ 6 пара | Аудитория БМ-43-17 | Преподаватель Новиков_48
Группа 4301 | Предмет Базы_данных | Время ПН 4 пара | Аудитория БМ-31-04 | Преподаватель Кузнецов_3
Группа 4301 | Предмет Схемотехника | Время ПН 3 пара | Аудитория Г-42-29 | Преподаватель Борисов_19
Группа 4301 | Предмет Сети_ЭВМ | Время СР 4 пара | Аудитория БМ-43-21 | Преподаватель Соколов_65
Группа 4301 | Предмет ТАУ | Время ВТ 5 пара | Аудитория Г-44-07 | Преподаватель Орлов_54
Группа 4301 | Предмет ТАУ | Время ЧТ 3 пара | Аудитория БМ-34-02 | Преподаватель Борисов_39
Группа 4301 | Предмет Экономика | Время ЧТ 4 пара | Аудитория БМ-24-09 | Преподаватель Козлов_27
Группа 4301 | Предмет Экономика | Время ВТ 4 пара | Аудитория Г-55-08 | Преподаватель Захаров_57
Группа 4301 | Предмет Английский_язык | Время ВТ 3 пара | Аудитория БМ-55-27 | Преподаватель Попов_44
Группа 4302 | Предмет Программирование | Время ЧТ 1 пара | Аудитория Г-51-16 | Преподаватель Павлов_75
Группа 4302 | Предмет Высшая_математика | Время ПН 2 пара | Аудитория БМ-35-15 | Преподаватель Алексеев_31
Группа 4302 | Предмет Базы_данных | Время ЧТ 3 пара | Аудитория БМ-44-06 | Преподаватель Новиков_48
Группа 4302 | Предмет Сети_ЭВМ | Время ПН 4 пара | Аудитория БМ-42-03 | Преподаватель Павлов_35
Группа 4302 | Предмет Сети_ЭВМ | Время СР 5 пара | Аудитория Г-11-16 | Преподаватель Соколов_65
Группа 4302 | Предмет Инженерная_графика | Время ВТ 5 пара | Аудитория Г-35-08 | Преподаватель Алексеев_51
Группа 4302 | Предмет Алгоритмы_и_структуры_данных | Время ПН 3 пара | Аудитория Г-41-24 | Преподаватель Новиков_8
Группа 4302 | Предмет ТАУ | Время ПТ 3 пара | Аудитория Г-23-22 | Преподаватель Попов_24
Группа 4302 | Предмет Защита_информации | Время ЧТ 2 пара | Аудитория БМ-44-09 | Преподаватель Макаров_56
Группа 4302 | Предмет Экономика | Время ЧТ 4 пара | Аудитория БМ-51-19 | Преподаватель Степанов_72
Группа 4302 | Предмет Английский_язык | Время ВТ 6 пара | Аудитория Г-31-26 | Преподаватель Попов_44
Группа 4303 | Предмет Высшая_математика | Время ВТ 1 пара | Аудитория БМ-34-12 | Преподаватель Алексеев_31
Группа 4303 | Предмет Физика | Время СР 4 пара | Аудитория Г-43-22 | Преподаватель Степанов_32
Группа 4303 | Предмет Физика | Время ПН 2 пара | Аудитория Г-53-29 | Преподаватель Козлов_47
Группа 4303 | Предмет Базы_данных | Время ВТ 3 пара | Аудитория БМ-33-16 | Преподаватель Николаев_33
Группа 4303 | Предмет Базы_данных | Время ПН 3 пара | Аудитория БМ-43-17 | Преподаватель Кузнецов_63
Группа 4303 | Предмет Схемотехника | Время ПТ 2 пара | Аудитория Г-53-02 | Преподаватель Орлов_34
Группа 4303 | Предмет Сети_ЭВМ | Время СР 3 пара | Аудитория Г-42-16 | Преподаватель Соколов_5
Группа 4303 | Предмет ОС | Время СР 2 пара | Аудитория Г-55-08 | Преподаватель Захаров_37
Группа 4303 | Предмет ОС | Время ПТ 3 пара | Аудитория Г-45-08 | Преподаватель Козлов_7
Группа 4303 | Предмет ТАУ | Время ВТ 2 пара | Аудитория Г-31-18 | Преподаватель Морозов_9
Группа 4303 | Предмет Защита_информации | Время ПН 5 пара | Аудитория БМ-44-09 | Преподаватель Петров_41
Группа 4303 | Предмет Защита_информации | Время ПН 4 пара | Аудитория Г-43-27 | Преподаватель Алексеев_71
Группа 4303 | Предмет Английский_язык | Время ПТ 6 пара | Аудитория Г-43-22 | Преподаватель Попов_44
Группа 4303 | Предмет Английский_язык | Время ПТ 5 пара | Аудитория Г-42-16 | Преподаватель Борисов_59
Группа 4304 | Предмет Программирование | Время ВТ 5 пара | Аудитория Г-31-12 | Преподаватель Иванов_0
Группа 4304 | Предмет Программирование | Время ПТ 6 пара | Аудитория БМ-35-15 | Преподаватель Павлов_75
Группа 4304 | Предмет Высшая_математика | Время ПН 1 пара | Аудитория Г-21-12 | Преподаватель Петров_1
Группа 4304 | Предмет Физика | Время ПН 4 пара | Аудитория Г-14-27 | Преподаватель Захаров_17
Группа 4304 | Предмет Базы_данных | Время ПН 5 пара | Аудитория БМ-55-27 | Преподаватель Кузнецов_3
Группа 4304 | Предмет ОС | Время СР 2 пара | Аудитория Г-21-12 | Преподаватель Козлов_67
Группа 4304 | Предмет Алгоритмы_и_структуры_данных | Время ЧТ 2 пара | Аудитория БМ-51-20 | Преподаватель Новиков_68
Группа 4304 | Предмет Алгоритмы_и_структуры_данных | Время ЧТ 4 пара | Аудитория Г-23-15 | Преподаватель Николаев_53
Группа 4304 | Предмет Микропроцессорные_системы | Время ПН 3 пара | Аудитория Г-31-26 | Преподаватель Волков_10
Группа 4304 | Предмет Микропроцессорные_системы | Время ПТ 5 пара | Аудитория БМ-35-15 | Преподаватель Волков_70
Группа 4304 | Предмет Экономика | Время ЧТ 5 пара | Аудитория Г-23-15 | Преподаватель Козлов_27
Группа 4304 | Предмет Английский_язык | Время ЧТ 6 пара | Аудитория БМ-43-17 | Преподаватель Попов_44
Группа 4304 | Предмет Английский_язык | Время СР 1 пара | Аудитория Г-53-29 | Преподаватель Морозов_29
Группа 4305 | Предмет Физика | Время ВТ 6 пара | Аудитория БМ-53-14 | Преподаватель Смирнов_2
Группа 4305 | Предмет Физика | Время ПТ 3 пара | Аудитория Г-53-02 | Преподаватель Смирнов_2
Группа 4305 | Предмет Базы_данных | Время ПН 4 пара | Аудитория Г-11-16 | Преподаватель Кузнецов_63
Группа 4305 | Предмет Схемотехника | Время СР 5 пара | Аудитория Г-15-07 | Преподаватель Морозов_49
Группа 4305 | Предмет Сети_ЭВМ | Время ПТ 2 пара | Аудитория Г-41-24 | Преподаватель Соколов_65
Группа 4305 | Предмет Сети_ЭВМ | Время ВТ 4 пара | Аудитория БМ-55-27 | Преподаватель Волков_50
Группа 4305 | Предмет Алгоритмы_и_структуры_данных | Время ПТ 4 пара | Аудитория Г-21-12 | Преподаватель Николаев_53
Группа 4305 | Предмет Алгоритмы_и_структуры_данных | Время ПН 5 пара | Аудитория Г-41-11 | Преподаватель Новиков_8
Группа 4305 | Предмет ТАУ | Время СР 2 пара | Аудитория Г-44-07 | Преподаватель Орлов_54
Группа 4305 | Предмет ТАУ | Время СР 1 пара | Аудитория Г-53-15 | Преподаватель Борисов_39
Группа 4305 | Предмет Защита_информации | Время ПН 2 пара | Аудитория БМ-51-20 | Преподаватель Лебедев_26
Группа 4305 | Предмет Защита_информации | Время ЧТ 1 пара | Аудитория БМ-25-05 | Преподаватель Лебедев_26
Группа 4305 | Предмет Экономика | Время ПТ 1 пара | Аудитория БМ-25-05 | Преподаватель Степанов_12
Группа 4305 | Предмет Философия | Время ВТ 3 пара | Аудитория БМ-55-07 | Преподаватель Николаев_13
Группа 4305 | Предмет Философия | Время СР 4 пара | Аудитория Г-54-18 | Преподаватель Кузнецов_43
Группа 4305 | Предмет Английский_язык | Время ПН 1 пара | Аудитория Г-23-23 | Преподаватель Орлов_74
Группа 4305 | Предмет Английский_язык | Время ВТ 5 пара | Аудитория Г-14-27 | Преподаватель Борисов_59
Группа 4306 | Предмет Высшая_математика | Время ЧТ 5 пара | Аудитория Г-34-14 | Преподаватель Петров_1
Группа 4306 | Предмет Высшая_математика | Время ПН 5 пара | Аудитория БМ-51-19 | Преподаватель Макаров_76
Группа 4306 | Предмет Базы_данных | Время ПТ 3 пара | Аудитория Г-25-19 | Преподаватель Зайцев_18
Группа 4306 | Предмет Алгоритмы_и_структуры_данных | Время СР 1 пара | Аудитория Г-55-08 | Преподаватель Зайцев_38
Группа 4306 | Предмет ТАУ | Время ВТ 4 пара | Аудитория Г-24-09 | Преподаватель Морозов_69
Группа 4306 | Предмет Микропроцессорные_системы | Время ЧТ 2 пара | Аудитория Г-54-18 | Преподаватель Волков_10
Группа 4306 | Предмет Микропроцессорные_системы | Время ЧТ 3 пара | Аудитория Г-12-26 | Преподаватель Павлов_55
Группа 4306 | Предмет Защита_информации | Время ПН 4 пара | Аудитория БМ-41-12 | Преподаватель Алексеев_11
Группа 4306 | Предмет Экономика | Время ВТ 3 пара | Аудитория Г-53-02 | Преподаватель Захаров_57
Группа 4306 | Предмет Экономика | Время ПН 6 пара | Аудитория Г-51-06 | Преподаватель Степанов_12
Группа 4306 | Предмет Философия | Время ЧТ 4 пара | Аудитория Г-53-07 | Преподаватель Кузнецов_43
Группа 4306 | Предмет Философия | Время ПТ 2 пара | Аудитория БМ-35-15 | Преподаватель Николаев_73
Группа 4306 | Предмет Английский_язык | Время СР 2 пара | Аудитория БМ-24-10 | Преподаватель Борисов_59
Группа 4307 | Предмет Высшая_математика | Время ПН 2 пара | Аудитория Г-31-18 | Преподаватель Петров_1
Группа 4307 | Предмет Базы_данных | Время ВТ 6 пара | Аудитория Г-23-23 | Преподаватель Зайцев_18
Группа 4307 | Предмет Схемотехника | Время ВТ 4 пара | Аудитория Г-23-23 | Преподаватель Орлов_34
Группа 4307 | Предмет Сети_ЭВМ | Время ПН 1 пара | Аудитория Г-31-12 | Преподаватель Соколов_65
Группа 4307 | Предмет Инженерная_графика | Время ПТ 2 пара | Аудитория Г-55-04 | Преподаватель Лебедев_6
Группа 4307 | Предмет Алгоритмы_и_структуры_данных | Время ВТ 5 пара | Аудитория Г-53-15 | Преподаватель Зайцев_38
Группа 4307 | Предмет Экономика | Время ПН 3 пара | Аудитория Г-53-15 | Преподаватель Смирнов_42
Группа 4307 | Предмет Философия | Время ЧТ 4 пара | Аудитория Г-52-20 | Преподаватель Новиков_28
